year,countyDeptName ,regionNumber,regionArrestTotal,commercialSexTotal,involuntaryServitudeTotal,commercialSexCountyTotal,involuntaryServCountyTotal
2015,DorchesterCo,1,1,0,1,0,1
2015,CalvertCo,2,6,1,5,1,5
2015,FredrickCo,3,1,1,0,1,0
2015,MontgomeryCo,4,8,7,1,7,1
2015,BaltimoreCo,5,333,330,3,22,2
2015,Anne ArundelCo,5,333,330,3,308,1
2016,CecilCo,1,2,1,1,0,1
2016,WorchesterCo (Ocean City PD) ,1,2,1,1,1,0
2016,FredrickCo,3,2,2,0,2,0
2016,MontgomeryCo,4,3,1,2,1,2
2016,BaltimoreCo,5,12,9,3,7,2
2016,Anne ArundelCo,5,12,9,3,0,1
2017,HowardCo,5,12,9,3,2,0
2017,DorchesterCo,0,0,0,0,0,0
2017,CecilCo,0,0,0,0,0,0
2017,WorchesterCo (Ocean City PD) ,0,0,0,0,0,0
2017,CalvertCo,0,0,0,0,0,0
2017,FredrickCo,0,0,0,0,0,0
2017,MontgomeryCo,0,0,0,0,0,0
2017,PrinceGeorgesCo,0,0,0,0,0,0
2017,GreenBeltPD,0,0,0,0,0,0
2017,BaltimoreCo,0,0,0,0,0,0
2017,Anne ArundelCo,0,0,0,0,0,0
2018,HowardCo,0,0,0,0,0,0
2018,FredrickCo,3,1,0,1,0,1
2018,MontgomeryCo,4,24,22,2,17,0
2018,PrinceGeorgesCo,4,24,22,2,10,4
2018,BaltimoreCo,5,6,6,0,0,6
